Model,Accuracy,Precision,Recall,F1 Score
SVM,0.8333333333333334,0.8352455716586151,0.8333333333333334,0.8333333333333334
Random Forest,0.8260869565217391,0.8301265656764378,0.8260869565217391,0.827552578923093
Logistic Regression,0.8405797101449275,0.8433640414934652,0.8405797101449275,0.8412802204029678
XGBoost,0.8333333333333334,0.8369228176609371,0.8333333333333334,0.8344601010508791
